,Tweet Text
0,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
1,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
2,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
3,"I am New on Twitter Plz Follow Me 😁
@amalqa_
#امپورٹڈ_حکومت_نامنظور"
4,"Chairman PTI @ImranKhanPTI earlier today, in Bani Gala. Imran Khan will be in Peshawar today. 
#امپورٹڈ_حکومت_نامنظور http…"
5,A leader who doesn't hesitate before he sends his nation into battle is not fit to be a leader. Lot of respect for Imran…
6,"This is Chaudry Adnan and i am NOT a BOT 
@MaryamNSharif
 
Also i would like to take this immense opportunity to say…"
7,A leader who doesn't hesitate before he sends his nation into battle is not fit to be a leader. Lot of respect for Imran…
8,"Not a Bot
 #امپورٹڈ_حکومت_نامنظور"
9,"""Compromise for your Dream but NEVER Compromise on your Dream"".
Imran Khan
#امپورٹڈ_حکومت_نامنظور https://t.co/hQbIpBWqH4"
10,"Please think about it, these looters will never think about us.
Our leader is one and only Imran Khan ✋✋✋✋

#امپورٹڈ_ح…"
11,"The Only Hope My Leader 
#امپورٹڈ_حکومت_نامنظور https://t.co/Ip8dGJMEdR"
12,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
13,"We are the hundreds of thousands who turned up in Peshawar. We stand with Imran Khan. And yes, we are NOT A BOT.

And…"
14,#امپورٹڈ_حکومت_نامنظور.                                Absolutely   Not
15,"Still the top trend with 4.35Million tweets. Maryam Nawaz, with all the black money, you still can’t defeat one trend, fo…"
16,"Maryam Nawaz deleted this as they investigated the wrong hashtag used and Pmln worker was behind it.🤣🤣

#امپورٹڈ_حکومت_ن…"
17,"My Name is Lal Chand Malhi &amp; I m not a bot. 

#امپورٹڈ_حکومت_نامنظور"
18,"@PAKSupremeCourt please try this formula
#امپورٹڈ_حکومت_نامنظور"
19,"Leaders Must be close enough to relate to others, But far enough ahead to motivate them.
#امپورٹڈ_حکومت_نامنظور https:/…"
20,"My followers list is going down since I started tweeting with this trend #امپورٹڈ_حکومت_نامنظور 
😂

 #امپورٹڈ_حکومت_نامنظ…"
21,"Crime Minister heading a cabinet of members on bail from courts. 

What an amazing freefall  into a bottomless pit for us!…"
22,Recent data on our historic HT: 6.12 crore tweets &amp; 15.22 crore engagement. History has been made by PTI Family! #امپورٹڈ_…
